A002,IRKUT,A-002,G,P
A1,DOUGLAS,AD Skyraider,L,P
A1,DOUGLAS,EA-1 Skyraider,L,P
A1,DOUGLAS,Skyraider,L,P
A10,FAIRCHILD,A-10 Thunderbolt 2,L,J
A10,FAIRCHILD,OA-10 Thunderbolt 2,L,J
A10,FAIRCHILD,Thunderbolt 2,L,J
A109,AGUSTA,A-109,H,T
A109,AGUSTA,A-109 Power,H,T
A109,AGUSTA,Hkp15,H,T
A109,AGUSTA,MH-68 Power,H,T
A109,AGUSTA,Power,H,T
A109,SABCA,A-109,H,T
A119,AGUSTA,A-119 Koala,H,T
A119,AGUSTA,Koala,H,T
A119,DENEL,A-119 Koala,H,T
A119,DENEL,Koala,H,T
A122,AEROTEC,A-122 Uirapuru,L,P
A122,AEROTEC,T-23 Uirapuru,L,P
A122,AEROTEC,Uirapuru,L,P
A124,ANTONOV,An-124 Ruslan,L,J
A124,ANTONOV,Ruslan,L,J
A129,AGUSTA,A-129 Mangusta,H,T
A129,AGUSTA,Mangusta,H,T
A139,AGUSTA,AB-139,H,T
A139,BELL,AB-139,H,T
A139,BELL-AGUSTA,AB-139,H,T
A140,ANTONOV,An-140,L,T
A140,HESA,Faraz,L,T
A140,HESA,IRAN-140 Faraz,L,T
A19,AEROPRACT,A-19,L,P
A20,DOUGLAS,A-20 Havoc,L,P
A20,DOUGLAS,Havoc,L,P
A205,OSKBES-MAI,MAI-205,G,P
A21,AEROPRACT,A-21 Solo,L,P
A21,AEROPRACT,Solo,L,P
A210,AQUILA,A-210,L,P
A211,ALFA-M,A-211,L,P
A22,SADLER,A-22 Piranha,L,P
A22,SADLER,Piranha,L,P
A225,ANTONOV,An-225 Mriya,L,J
A225,ANTONOV,Mriya,L,J
A23,AEROPRACT,A-23 Dragon,L,P
A23,AEROPRACT,Dragon,L,P
A25,AEROPRACT,A-25 Breeze,A,P
A25,AEROPRACT,Breeze,A,P
A27,AEROPRACT,A-27,L,P
A270,AERO,Ae-270 Ibis,L,T
A270,AERO,Ibis,L,T
A270,IBIS,Ae-270 Ibis,L,T
A270,IBIS,Ibis,L,T
A3,DOUGLAS,A-3 Skywarrior,L,J
A3,DOUGLAS,ERA-3 Skywarrior,L,J
A3,DOUGLAS,NRA-3 Skywarrior,L,J
A3,DOUGLAS,Skywarrior,L,J
A3,DOUGLAS,TA-3 Skywarrior,L,J
A306,AIRBUS,A-300B4-600,L,J
A306,AIRBUS,A-300C4-600,L,J
A306,AIRBUS,A-300F4-600,L,J
A30B,AIRBUS,A-300B2,L,J
A30B,AIRBUS,A-300B2-1,L,J
A30B,AIRBUS,A-300B2-100,L,J
A30B,AIRBUS,A-300B2-200,L,J
A30B,AIRBUS,A-300B2K-3,L,J
A30B,AIRBUS,A-300B4-100,L,J
A30B,AIRBUS,A-300B4-2,L,J
A30B,AIRBUS,A-300B4-200,L,J
A30B,AIRBUS,A-300C4-200,L,J
A30B,AIRBUS,A-300F4-200,L,J
A310,AIRBUS,A-310,L,J
A310,AIRBUS,CC-150 Polaris,L,J
A310,AIRBUS,Polaris,L,J
A318,AIRBUS,A-318,L,J
A319,AIRBUS,A-319,L,J
